,,,,,,,-14%,-14%,-14%,-14%,-14%,-14%,20%,20%,20%,20%,20%,-14%,-14%,-14%,-14%,-14%,-14%,-14%,20%,20%,20%,20%,20%,-14%,-14%,-14%,-14%,-14%,-14%,-14%,20%,20%,20%,20%,20%,-14%,-14%,-14%,-14%,-14%,-14%,-14%,20%,20%,20%,20%,20%,-14%,-14%,-14%,-14%,-14%,-14%,-14%,20%,20%,20%,20%,20%,-14%
,,,,,,Variance,Normal,Normal,Normal,Normal,Normal,Normal,Peak,Peak,Peak,Peak,Peak,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Peak,Peak,Peak,Peak,Peak,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Peak,Peak,Peak,Peak,Peak,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Peak,Peak,Peak,Peak,Peak,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Peak,Peak,Peak,Peak,Peak,Normal
,FY26-27,FY27-28,FY28-29,FY29-30,FY30-31,DRS Universe (Cr),Apr-26,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27,Jan-28,Feb-28,Mar-28,Apr-28,May-28,Jun-28,Jul-28,Aug-28,Sep-28,Oct-28,Nov-28,Dec-28,Jan-29,Feb-29,Mar-29,Apr-29,May-29,Jun-29,Jul-29,Aug-29,Sep-29,Oct-29,Nov-29,Dec-29,Jan-30,Feb-30,Mar-30,Apr-30,May-30,Jun-30,Jul-30,Aug-30,Sep-30,Oct-30,Nov-30,Dec-30,Jan-31,Feb-31,Mar-31
,195.7,205.4,215.7,226.5,237.8,Total,13.975598216250000,13.975598216250000,13.975598216250000,13.975598216250000,13.975598216250000,13.975598216250000,19.565837502750000,19.565837502750000,19.565837502750000,19.565837502750000,19.565837502750000,13.975598216250000,14.674378127062500,14.674378127062500,14.674378127062500,14.674378127062500,14.674378127062500,14.674378127062500,20.544129377887500,20.544129377887500,20.544129377887500,20.544129377887500,20.544129377887500,14.674378127062500,15.408097033415600,15.408097033415600,15.408097033415600,15.408097033415600,15.408097033415600,15.408097033415600,21.571335846781900,21.571335846781900,21.571335846781900,21.571335846781900,21.571335846781900,15.408097033415600,16.178501885086400,16.178501885086400,16.178501885086400,16.178501885086400,16.178501885086400,16.178501885086400,22.649902639121000,22.649902639121000,22.649902639121000,22.649902639121000,22.649902639121000,16.178501885086400,16.987426979340700,16.987426979340700,16.987426979340700,16.987426979340700,16.987426979340700,16.987426979340700,23.782397771077000,23.782397771077000,23.782397771077000,23.782397771077000,23.782397771077000,16.987426979340700
,36.2,38.0,39.9,41.9,44.0,   PET,2.587200000000000,2.587200000000000,2.587200000000000,2.587200000000000,2.587200000000000,2.587200000000000,3.622080000000000,3.622080000000000,3.622080000000000,3.622080000000000,3.622080000000000,2.587200000000000,2.716560000000000,2.716560000000000,2.716560000000000,2.716560000000000,2.716560000000000,2.716560000000000,3.803184000000000,3.803184000000000,3.803184000000000,3.803184000000000,3.803184000000000,2.716560000000000,2.852388000000000,2.852388000000000,2.852388000000000,2.852388000000000,2.852388000000000,2.852388000000000,3.993343200000000,3.993343200000000,3.993343200000000,3.993343200000000,3.993343200000000,2.852388000000000,2.995007400000000,2.995007400000000,2.995007400000000,2.995007400000000,2.995007400000000,2.995007400000000,4.193010360000000,4.193010360000000,4.193010360000000,4.193010360000000,4.193010360000000,2.995007400000000,3.144757770000000,3.144757770000000,3.144757770000000,3.144757770000000,3.144757770000000,3.144757770000000,4.402660878000000,4.402660878000000,4.402660878000000,4.402660878000000,4.402660878000000,3.144757770000000
,14.2,14.9,15.6,16.4,17.2,   HDPE,1.012500000000000,1.012500000000000,1.012500000000000,1.012500000000000,1.012500000000000,1.012500000000000,1.417500000000000,1.417500000000000,1.417500000000000,1.417500000000000,1.417500000000000,1.012500000000000,1.063125000000000,1.063125000000000,1.063125000000000,1.063125000000000,1.063125000000000,1.063125000000000,1.488375000000000,1.488375000000000,1.488375000000000,1.488375000000000,1.488375000000000,1.063125000000000,1.116281250000000,1.116281250000000,1.116281250000000,1.116281250000000,1.116281250000000,1.116281250000000,1.562793750000000,1.562793750000000,1.562793750000000,1.562793750000000,1.562793750000000,1.116281250000000,1.172095312500000,1.172095312500000,1.172095312500000,1.172095312500000,1.172095312500000,1.172095312500000,1.640933437500000,1.640933437500000,1.640933437500000,1.640933437500000,1.640933437500000,1.172095312500000,1.230700078125000,1.230700078125000,1.230700078125000,1.230700078125000,1.230700078125000,1.230700078125000,1.722980109375000,1.722980109375000,1.722980109375000,1.722980109375000,1.722980109375000,1.230700078125000
,62.1,65.2,68.4,71.9,75.5,   MLP,4.433812500000000,4.433812500000000,4.433812500000000,4.433812500000000,4.433812500000000,4.433812500000000,6.207337500000000,6.207337500000000,6.207337500000000,6.207337500000000,6.207337500000000,4.433812500000000,4.655503125000000,4.655503125000000,4.655503125000000,4.655503125000000,4.655503125000000,4.655503125000000,6.517704375000000,6.517704375000000,6.517704375000000,6.517704375000000,6.517704375000000,4.655503125000000,4.888278281250000,4.888278281250000,4.888278281250000,4.888278281250000,4.888278281250000,4.888278281250000,6.843589593750000,6.843589593750000,6.843589593750000,6.843589593750000,6.843589593750000,4.888278281250000,5.132692195312500,5.132692195312500,5.132692195312500,5.132692195312500,5.132692195312500,5.132692195312500,7.185769073437500,7.185769073437500,7.185769073437500,7.185769073437500,7.185769073437500,5.132692195312500,5.389326805078130,5.389326805078130,5.389326805078130,5.389326805078130,5.389326805078130,5.389326805078130,7.545057527109380,7.545057527109380,7.545057527109380,7.545057527109380,7.545057527109380,5.389326805078130
,26.6,27.9,29.3,30.8,32.3,   Glass,1.900002375000000,1.900002375000000,1.900002375000000,1.900002375000000,1.900002375000000,1.900002375000000,2.660003325000000,2.660003325000000,2.660003325000000,2.660003325000000,2.660003325000000,1.900002375000000,1.995002493750000,1.995002493750000,1.995002493750000,1.995002493750000,1.995002493750000,1.995002493750000,2.793003491250000,2.793003491250000,2.793003491250000,2.793003491250000,2.793003491250000,1.995002493750000,2.094752618437500,2.094752618437500,2.094752618437500,2.094752618437500,2.094752618437500,2.094752618437500,2.932653665812500,2.932653665812500,2.932653665812500,2.932653665812500,2.932653665812500,2.094752618437500,2.199490249359380,2.199490249359380,2.199490249359380,2.199490249359380,2.199490249359380,2.199490249359380,3.079286349103130,3.079286349103130,3.079286349103130,3.079286349103130,3.079286349103130,2.199490249359380,2.309464761827340,2.309464761827340,2.309464761827340,2.309464761827340,2.309464761827340,2.309464761827340,3.233250666558280,3.233250666558280,3.233250666558280,3.233250666558280,3.233250666558280,2.309464761827340
,8.9,9.3,9.8,10.3,10.8,   AL Cans,0.633333341250000,0.633333341250000,0.633333341250000,0.633333341250000,0.633333341250000,0.633333341250000,0.886666677750000,0.886666677750000,0.886666677750000,0.886666677750000,0.886666677750000,0.633333341250000,0.665000008312500,0.665000008312500,0.665000008312500,0.665000008312500,0.665000008312500,0.665000008312500,0.931000011637500,0.931000011637500,0.931000011637500,0.931000011637500,0.931000011637500,0.665000008312500,0.698250008728125,0.698250008728125,0.698250008728125,0.698250008728125,0.698250008728125,0.698250008728125,0.977550012219375,0.977550012219375,0.977550012219375,0.977550012219375,0.977550012219375,0.698250008728125,0.733162509164531,0.733162509164531,0.733162509164531,0.733162509164531,0.733162509164531,0.733162509164531,1.026427512830340,1.026427512830340,1.026427512830340,1.026427512830340,1.026427512830340,0.733162509164531,0.769820634622758,0.769820634622758,0.769820634622758,0.769820634622758,0.769820634622758,0.769820634622758,1.077748888471860,1.077748888471860,1.077748888471860,1.077748888471860,1.077748888471860,0.769820634622758
,17.0,17.9,18.8,19.7,20.7,   Tetra Pack,1.215000000000000,1.215000000000000,1.215000000000000,1.215000000000000,1.215000000000000,1.215000000000000,1.701000000000000,1.701000000000000,1.701000000000000,1.701000000000000,1.701000000000000,1.215000000000000,1.275750000000000,1.275750000000000,1.275750000000000,1.275750000000000,1.275750000000000,1.275750000000000,1.786050000000000,1.786050000000000,1.786050000000000,1.786050000000000,1.786050000000000,1.275750000000000,1.339537500000000,1.339537500000000,1.339537500000000,1.339537500000000,1.339537500000000,1.339537500000000,1.875352500000000,1.875352500000000,1.875352500000000,1.875352500000000,1.875352500000000,1.339537500000000,1.406514375000000,1.406514375000000,1.406514375000000,1.406514375000000,1.406514375000000,1.406514375000000,1.969120125000000,1.969120125000000,1.969120125000000,1.969120125000000,1.969120125000000,1.406514375000000,1.476840093750000,1.476840093750000,1.476840093750000,1.476840093750000,1.476840093750000,1.476840093750000,2.067576131250000,2.067576131250000,2.067576131250000,2.067576131250000,2.067576131250000,1.476840093750000
,30.7,32.2,33.9,35.6,37.3,   LD,2.193750000000000,2.193750000000000,2.193750000000000,2.193750000000000,2.193750000000000,2.193750000000000,3.071250000000000,3.071250000000000,3.071250000000000,3.071250000000000,3.071250000000000,2.193750000000000,2.303437500000000,2.303437500000000,2.303437500000000,2.303437500000000,2.303437500000000,2.303437500000000,3.224812500000000,3.224812500000000,3.224812500000000,3.224812500000000,3.224812500000000,2.303437500000000,2.418609375000000,2.418609375000000,2.418609375000000,2.418609375000000,2.418609375000000,2.418609375000000,3.386053125000000,3.386053125000000,3.386053125000000,3.386053125000000,3.386053125000000,2.418609375000000,2.539539843750000,2.539539843750000,2.539539843750000,2.539539843750000,2.539539843750000,2.539539843750000,3.555355781250000,3.555355781250000,3.555355781250000,3.555355781250000,3.555355781250000,2.539539843750000,2.666516835937500,2.666516835937500,2.666516835937500,2.666516835937500,2.666516835937500,2.666516835937500,3.733123570312500,3.733123570312500,3.733123570312500,3.733123570312500,3.733123570312500,2.666516835937500
